127.0.0.1 - - [23/Jun/2024:17:52:25 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [23/Jun/2024:17:52:29 +0900] "GET /MustHaveJSP/09PagingBoard/List.jsp HTTP/1.1" 200 2372
0:0:0:0:0:0:0:1 - - [23/Jun/2024:17:52:29 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [23/Jun/2024:17:52:32 +0900] "GET /MustHaveJSP/08Board/List.jsp HTTP/1.1" 200 2156
0:0:0:0:0:0:0:1 - - [23/Jun/2024:17:52:34 +0900] "GET /MustHaveJSP/09PagingBoard/List.jsp HTTP/1.1" 200 2372
0:0:0:0:0:0:0:1 - - [23/Jun/2024:17:52:35 +0900] "GET /MustHaveJSP/08Board/List.jsp HTTP/1.1" 200 2156
0:0:0:0:0:0:0:1 - - [23/Jun/2024:17:52:39 +0900] "GET /MustHaveJSP/09PagingBoard/List.jsp HTTP/1.1" 200 2372
0:0:0:0:0:0:0:1 - - [23/Jun/2024:17:52:46 +0900] "GET /MustHaveJSP/09PagingBoard/View.jsp?num=1&pageNum=1&searchField=null&searchWord=null HTTP/1.1" 200 1940
0:0:0:0:0:0:0:1 - - [23/Jun/2024:17:52:48 +0900] "GET /MustHaveJSP/09PagingBoard/List.jsp?pageNum=1&searchField=null&searchWord=null HTTP/1.1" 200 2050
0:0:0:0:0:0:0:1 - - [23/Jun/2024:17:52:51 +0900] "GET /MustHaveJSP/09PagingBoard/Write.jsp HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [23/Jun/2024:17:52:53 +0900] "GET /MustHaveJSP/06Session/LoginForm.jsp HTTP/1.1" 200 1453
0:0:0:0:0:0:0:1 - - [23/Jun/2024:17:52:58 +0900] "POST /MustHaveJSP/06Session/LoginProcess.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:17:52:58 +0900] "GET /MustHaveJSP/06Session/LoginForm.jsp HTTP/1.1" 200 1008
0:0:0:0:0:0:0:1 - - [23/Jun/2024:17:52:59 +0900] "GET /MustHaveJSP/09PagingBoard/List.jsp HTTP/1.1" 200 2372
0:0:0:0:0:0:0:1 - - [23/Jun/2024:17:53:05 +0900] "GET /MustHaveJSP/09PagingBoard/View.jsp?num=1&pageNum=1&searchField=null&searchWord=null HTTP/1.1" 200 2150
0:0:0:0:0:0:0:1 - - [23/Jun/2024:17:53:18 +0900] "GET /MustHaveJSP/09PagingBoard/List.jsp?pageNum=1&searchField=null&searchWord=null HTTP/1.1" 200 2050
0:0:0:0:0:0:0:1 - - [23/Jun/2024:17:53:24 +0900] "GET /MustHaveJSP/09PagingBoard/List.jsp?searchField=title&searchWord=1 HTTP/1.1" 200 2375
0:0:0:0:0:0:0:1 - - [23/Jun/2024:17:53:33 +0900] "GET /MustHaveJSP/09PagingBoard/List.jsp HTTP/1.1" 200 2372
0:0:0:0:0:0:0:1 - - [23/Jun/2024:18:00:46 +0900] "GET /MustHaveJSP/09PagingBoard/List.jsp HTTP/1.1" 200 2335
0:0:0:0:0:0:0:1 - - [23/Jun/2024:18:00:50 +0900] "GET /MustHaveJSP/09PagingBoard/List.jsp HTTP/1.1" 200 2335
0:0:0:0:0:0:0:1 - - [23/Jun/2024:18:00:51 +0900] "GET /MustHaveJSP/09PagingBoard/View.jsp?num=1&pageNum=1 HTTP/1.1" 200 2150
